Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
7000023W;CU;1;1;153;MM;232;MM;23;MM;0,816;CDM;155;G;132;G
7000023W;PAL;1 200;1;1 200,00;MM;800;MM;1 596,00;MM;1 532,16;CDM;225 600,00;G;158 400,00;G
7000023W;PC;1;12;0;;0;;0;;0;;0;;132;G
7000023W;PLR;100;1;1 146,00;MM;750;MM;121;MM;104;CDM;16 800,00;G;13 200,00;G
7000023W;PLU;1 540;1;1 200,00;MM;1 000,00;MM;1 481,00;MM;1 777,20;CDM;283 720,00;G;203 280,00;G
7000023W;PRU;140;1;1 146,00;MM;1 000,00;MM;121;MM;138,666;CDM;23 520,00;G;18 480,00;G
7000023W;SU;10;1;323;MM;251;MM;121;MM;9,81;CDM;1 680,00;G;1 320,00;G
7000056B;CU;1;1;30;MM;95;MM;230;MM;0,656;CDM;74;G;71;G
7000056B;PAL;2 520;1;1 200,00;MM;800;MM;1 782,00;MM;1 656,96;CDM;237 948,00;G;178 920,00;G
7000056B;PC;1;6;0;MM;0;MM;0;MM;0;CDM;0;G;71;G
7000056B;PLR;180;1;1 190,00;MM;798;MM;117;MM;107,757;CDM;15 282,00;G;12 780,00;G
7000056B;PLU;2 200;1;1 200,00;MM;1 000,00;MM;1 437,00;MM;1 724,40;CDM;211 780,00;G;156 200,00;G
7000056B;PRU;200;1;1 176,00;MM;924;MM;117;MM;127,135;CDM;16 980,00;G;14 200,00;G
7000056B;SU;10;1;268;MM;200;MM;120;MM;5,921;CDM;849;G;710;G
7000057A;CU;1;1;30;MM;145;MM;235;MM;1,022;CDM;117;G;108;G
7000057A;PAL;1 120;1;1 200,00;MM;800;MM;1 579,00;MM;1 515,84;CDM;155 040,00;G;120 960,00;G
7000057A;PC;1;12;0;MM;0;MM;0;MM;0;CDM;0;;108;G
7000057A;PCF;1;4;0;;0;;0;;0;;0;;108;G
7000057A;PLR;160;1;1 192,00;MM;794;MM;205;MM;194,022;CDM;18 720,00;G;17 280,00;G
7000057A;SU;10;1;298;MM;198;MM;205;MM;12,096;CDM;1 170,00;G;1 080,00;G
7000059C;CU;1;1;23;MM;104;MM;240;MM;0,454;CDM;54,2;G;47;G
7000059C;PAL;3 200;1;1 200,00;MM;800;MM;1 672,00;MM;1 605,12;CDM;197 440,00;G;150 400,00;G
7000059C;PC;1;4;0;;0;;0;;0;;0;;47;G
7000059C;PLR;320;1;1 180,00;MM;800;MM;154;MM;145,376;CDM;17 344,00;G;15 040,00;G
7000059C;PLU;3 200;1;1 200,00;MM;1 000,00;MM;1 427,00;MM;1 712,40;CDM;173 440,00;G;150 400,00;G
7000059C;PRU;400;1;1 200,00;MM;1 000,00;MM;158;MM;189,6;CDM;21 680,00;G;18 800,00;G
7000059C;SU;20;1;295;MM;200;MM;154;MM;9,086;CDM;1 084,00;G;940;G
7000063E;CU;1;1;32;MM;96;MM;112;MM;0,344;CDM;28,8;G;16,998;G
7000063E;DU;100;1;525;MM;200;MM;320;MM;33,6;CDM;3 900,00;G;1 699,80;G
7000063E;PAL;4 000;1;1 200,00;MM;800;MM;1 744,00;MM;1 674,24;CDM;180 000,00;G;67 992,00;G
7000063E;PC;1;3;0;;0;;0;;0;CDM;0;;16,998;G
7000063E;PLR;800;1;1 200,00;MM;800;MM;320;MM;307,2;CDM;31 200,00;G;13 598,40;G
7000063E;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 430,00;MM;1 716,00;CDM;181 000,00;G;67 992,00;G
7000063E;PRU;1 000;1;1 050,00;MM;1 000,00;MM;320;MM;336;CDM;39 000,00;G;16 998,00;G
7000063E;SU;10;1;182;MM;100;MM;153;MM;2,785;CDM;343;G;169,98;G
7000102I;CU;1;1;10;MM;52;MM;28;MM;0,015;CDM;8,94;G;6,94;G
7000102I;DU;1 000;1;325;MM;280;MM;220;MM;19,608;CDM;9 924,00;G;6 940,00;G
7000102I;PAL;40 000;1;1 200,00;MM;800;MM;1 244,00;MM;1 194,24;CDM;420 960,00;G;277 600,00;G
7000102I;PC;1;5;0;;0;;0;;0;CDM;0;;6,94;G
7000102I;PLR;8 000;1;1 120,00;MM;650;MM;220;MM;206,4;CDM;79 392,00;G;55 520,00;G
7000102I;PLU;48 000;1;12 000,00;MM;1 000,00;MM;1 030,00;MM;12,36;M3;501 352,00;G;333 120,00;G
7000102I;PRU;12 000;1;1 120,00;MM;975;MM;220;MM;0,24;M3;119 088,00;G;83 280,00;G
7000102I;SU;20;1;210;MM;55;MM;31;MM;0,343;CDM;193;G;138,8;G
70001330;CU;1;1;12;MM;100;MM;115;MM;0,138;CDM;30;G;26;G
70001330;DU;100;1;540;MM;245;MM;130;MM;17,73;CDM;3 752,00;G;2 600,00;G
70001330;PAL;7 700;1;1 200,00;MM;800;MM;1 574,00;MM;1 516,80;CDM;312 904,00;G;200 200,00;G
70001330;PC;1;10;0;;0;;0;;0;CDM;0;;26;G
70001330;PLR;700;1;1 225,00;MM;785;MM;130;MM;124,8;CDM;26 264,00;G;18 200,00;G
70001330;PLU;7 200;1;1 200,00;MM;1 000,00;MM;1 320,00;MM;1 605,60;CDM;295 144,00;G;187 200,00;G
70001330;PRU;800;1;1 080,00;MM;980;MM;130;MM;158,4;CDM;30 016,00;G;20 800,00;G
70001330;SU;10;1;117;MM;105;MM;118;MM;1,449;CDM;353;G;260;G
7000182H;CU;1;1;150;MM;122;MM;190;MM;3,547;CDM;493;G;449;G
7000182H;PAL;280;1;1 200,00;MM;800;MM;1 544,00;MM;1 495,68;CDM;162 040,00;G;125 720,00;G
7000182H;PC;1;100;0;;0;;0;;0;CDM;0;G;449;G
7000182H;PLR;40;1;1 025,00;MM;775;MM;200;MM;192;CDM;19 720,00;G;17 960,00;G
7000182H;PLU;240;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 307,52;CDM;143 320,00;G;107 760,00;G
7000182H;PRU;40;1;1 000,00;MM;775;MM;200;MM;193,92;CDM;19 720,00;G;17 960,00;G
7000182H;SU;10;1;755;MM;250;MM;200;MM;3,547;CDM;4 930,00;G;4 490,00;G
7000201D;CU;1;1;21;MM;85;MM;186;MM;0,332;CDM;34,3;G;22;G
7000201D;DU;180;1;457;MM;275;MM;395;MM;49,642;CDM;7 365,00;G;3 960,00;G
7000201D;PAL;4 320;1;1 200,00;MM;800;MM;1 724,00;MM;1 655,04;CDM;200 760,00;G;95 040,00;G
7000201D;PC;1;1;0;;0;;0;;0;CDM;34,3;G;22;G
7000201D;PLR;1 080;1;1 100,00;MM;732;MM;395;MM;318,054;CDM;44 190,00;G;23 760,00;G
