Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
7000023W,CU,1,1.0,"153,000",MM,"232,000",MM,"23,000",MM,"0,816",CDM,"155,000",G,"132,000",G,CU
7000023W,PAL,1 200,1.0,"1 200,000",MM,"800,000",MM,"1 596,000",MM,"1 532,160",CDM,"225 600,000",G,"158 400,000",G,PAL
7000023W,PC,1,12.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"132,000",G,PC
7000023W,PLR,100,1.0,"1 146,000",MM,"750,000",MM,"121,000",MM,"104,000",CDM,"16 800,000",G,"13 200,000",G,PLR
7000023W,PLU,1 540,1.0,"1 200,000",MM,"1 000,000",MM,"1 481,000",MM,"1 777,200",CDM,"283 720,000",G,"203 280,000",G,PLU
7000023W,PRU,140,1.0,"1 146,000",MM,"1 000,000",MM,"121,000",MM,"138,666",CDM,"23 520,000",G,"18 480,000",G,PRU
7000023W,SU,10,1.0,"323,000",MM,"251,000",MM,"121,000",MM,"9,810",CDM,"1 680,000",G,"1 320,000",G,SU
7000056B,CU,1,1.0,"30,000",MM,"95,000",MM,"230,000",MM,"0,656",CDM,"74,000",G,"71,000",G,PCF
7000056B,PAL,2 520,1.0,"1 200,000",MM,"800,000",MM,"1 782,000",MM,"1 656,960",CDM,"237 948,000",G,"178 920,000",G,DU
7000056B,PC,1,6.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",G,"71,000",G,
7000056B,PLR,180,1.0,"1 190,000",MM,"798,000",MM,"117,000",MM,"107,757",CDM,"15 282,000",G,"12 780,000",G,
7000056B,PLU,2 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 437,000",MM,"1 724,400",CDM,"211 780,000",G,"156 200,000",G,
7000056B,PRU,200,1.0,"1 176,000",MM,"924,000",MM,"117,000",MM,"127,135",CDM,"16 980,000",G,"14 200,000",G,
7000056B,SU,10,1.0,"268,000",MM,"200,000",MM,"120,000",MM,"5,921",CDM,"849,000",G,"710,000",G,
7000057A,CU,1,1.0,"30,000",MM,"145,000",MM,"235,000",MM,"1,022",CDM,"117,000",G,"108,000",G,
7000057A,PAL,1 120,1.0,"1 200,000",MM,"800,000",MM,"1 579,000",MM,"1 515,840",CDM,"155 040,000",G,"120 960,000",G,
7000057A,PC,1,12.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",,"108,000",G,
7000057A,PCF,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"108,000",G,
7000057A,PLR,160,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"18 720,000",G,"17 280,000",G,
7000057A,SU,10,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"1 170,000",G,"1 080,000",G,
7000059C,CU,1,1.0,"23,000",MM,"104,000",MM,"240,000",MM,"0,454",CDM,"54,200",G,"47,000",G,
7000059C,PAL,3 200,1.0,"1 200,000",MM,"800,000",MM,"1 672,000",MM,"1 605,120",CDM,"197 440,000",G,"150 400,000",G,
7000059C,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"47,000",G,
7000059C,PLR,320,1.0,"1 180,000",MM,"800,000",MM,"154,000",MM,"145,376",CDM,"17 344,000",G,"15 040,000",G,
7000059C,PLU,3 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 427,000",MM,"1 712,400",CDM,"173 440,000",G,"150 400,000",G,
7000059C,PRU,400,1.0,"1 200,000",MM,"1 000,000",MM,"158,000",MM,"189,600",CDM,"21 680,000",G,"18 800,000",G,
7000059C,SU,20,1.0,"295,000",MM,"200,000",MM,"154,000",MM,"9,086",CDM,"1 084,000",G,"940,000",G,
7000063E,CU,1,1.0,"32,000",MM,"96,000",MM,"112,000",MM,"0,344",CDM,"28,800",G,"16,998",G,
7000063E,DU,100,1.0,"525,000",MM,"200,000",MM,"320,000",MM,"33,600",CDM,"3 900,000",G,"1 699,800",G,
7000063E,PAL,4 000,1.0,"1 200,000",MM,"800,000",MM,"1 744,000",MM,"1 674,240",CDM,"180 000,000",G,"67 992,000",G,
7000063E,PC,1,3.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"16,998",G,
7000063E,PLR,800,1.0,"1 200,000",MM,"800,000",MM,"320,000",MM,"307,200",CDM,"31 200,000",G,"13 598,400",G,
7000063E,PLU,4 000,1.0,"1 200,000",MM,"1 000,000",MM,"1 430,000",MM,"1 716,000",CDM,"181 000,000",G,"67 992,000",G,
7000063E,PRU,1 000,1.0,"1 050,000",MM,"1 000,000",MM,"320,000",MM,"336,000",CDM,"39 000,000",G,"16 998,000",G,
7000063E,SU,10,1.0,"182,000",MM,"100,000",MM,"153,000",MM,"2,785",CDM,"343,000",G,"169,980",G,
7000102I,CU,1,1.0,"10,000",MM,"52,000",MM,"28,000",MM,"0,015",CDM,"8,940",G,"6,940",G,
7000102I,DU,1 000,1.0,"325,000",MM,"280,000",MM,"220,000",MM,"19,608",CDM,"9 924,000",G,"6 940,000",G,
7000102I,PAL,40 000,1.0,"1 200,000",MM,"800,000",MM,"1 244,000",MM,"1 194,240",CDM,"420 960,000",G,"277 600,000",G,
7000102I,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"6,940",G,
7000102I,PLR,8 000,1.0,"1 120,000",MM,"650,000",MM,"220,000",MM,"206,400",CDM,"79 392,000",G,"55 520,000",G,
7000102I,PLU,48 000,1.0,"12 000,000",MM,"1 000,000",MM,"1 030,000",MM,"12,360",M3,"501 352,000",G,"333 120,000",G,
7000102I,PRU,12 000,1.0,"1 120,000",MM,"975,000",MM,"220,000",MM,"0,240",M3,"119 088,000",G,"83 280,000",G,
7000102I,SU,20,1.0,"210,000",MM,"55,000",MM,"31,000",MM,"0,343",CDM,"193,000",G,"138,800",G,
70001330,CU,1,1.0,"12,000",MM,"100,000",MM,"115,000",MM,"0,138",CDM,"30,000",G,"26,000",G,
70001330,DU,100,1.0,"540,000",MM,"245,000",MM,"130,000",MM,"17,730",CDM,"3 752,000",G,"2 600,000",G,
70001330,PAL,7 700,1.0,"1 200,000",MM,"800,000",MM,"1 574,000",MM,"1 516,800",CDM,"312 904,000",G,"200 200,000",G,
70001330,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"26,000",G,
70001330,PLR,700,1.0,"1 225,000",MM,"785,000",MM,"130,000",MM,"124,800",CDM,"26 264,000",G,"18 200,000",G,
70001330,PLU,7 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 320,000",MM,"1 605,600",CDM,"295 144,000",G,"187 200,000",G,
70001330,PRU,800,1.0,"1 080,000",MM,"980,000",MM,"130,000",MM,"158,400",CDM,"30 016,000",G,"20 800,000",G,
70001330,SU,10,1.0,"117,000",MM,"105,000",MM,"118,000",MM,"1,449",CDM,"353,000",G,"260,000",G,
7000182H,CU,1,1.0,"150,000",MM,"122,000",MM,"190,000",MM,"3,547",CDM,"493,000",G,"449,000",G,
